client,hostname,alias_list,address_list
5.123.144.95,5.123.144.95,[Errno 1] Unknown host,
5.122.76.187,5.122.76.187,[Errno 1] Unknown host,
5.215.249.99,5.215.249.99,[Errno 1] Unknown host,
31.56.102.211,31-56-102-211.shatel.ir,['211.102.56.31.in-addr.arpa'],['31.56.102.211']
5.123.166.223,5.123.166.223,[Errno 1] Unknown host,
5.160.26.98,5.160.26.98,[Errno 1] Unknown host,
5.127.147.132,5.127.147.132,[Errno 1] Unknown host,
158.58.30.218,158.58.30.218,[Errno 1] Unknown host,
86.55.230.86,86.55.230.86,[Errno 1] Unknown host,
89.35.65.186,89.35.65.186,[Errno 1] Unknown host,
5.120.208.157,5.120.208.157,[Errno 1] Unknown host,
192.15.193.5,192.15.193.5,[Errno 1] Unknown host,
46.41.210.95,46.41.210.95,[Errno 1] Unknown host,
188.158.178.115,adsl-188-158-178-115.sabanet.ir,['115.178.158.188.in-addr.arpa'],['188.158.178.115']
5.211.205.186,5.211.205.186,[Errno 1] Unknown host,
5.122.221.229,5.122.221.229,[Errno 1] Unknown host,
5.112.87.152,5.112.87.152,[Errno 1] Unknown host,
5.214.59.242,5.214.59.242,[Errno 1] Unknown host,
5.121.39.243,5.121.39.243,[Errno 1] Unknown host,
5.124.223.22,5.124.223.22,[Errno 1] Unknown host,
5.127.1.252,5.127.1.252,[Errno 1] Unknown host,
151.239.180.251,151-239-180-251.shatel.ir,['251.180.239.151.in-addr.arpa'],['151.239.180.251']
5.115.12.252,5.115.12.252,[Errno 1] Unknown host,
5.119.203.1,5.119.203.1,[Errno 1] Unknown host,
91.251.210.3,91.251.210.3,[Errno 1] Unknown host,
77.238.112.165,77.238.112.165,[Errno 1] Unknown host,
5.202.213.125,5.202.213.125,[Errno 1] Unknown host,
86.107.80.6,86.107.80.6,[Errno 1] Unknown host,
83.120.182.69,83.120.182.69,[Errno 1] Unknown host,
5.116.18.92,5.116.18.92,[Errno 1] Unknown host,
5.218.1.197,5.218.1.197,[Errno 1] Unknown host,
5.211.135.246,5.211.135.246,[Errno 1] Unknown host,
89.198.129.186,89.198.129.186,[Errno 1] Unknown host,
5.112.184.86,5.112.184.86,[Errno 1] Unknown host,
192.15.19.245,192.15.19.245,[Errno 1] Unknown host,
5.116.4.200,5.116.4.200,[Errno 1] Unknown host,
188.210.78.211,188.210.78.211,[Errno 1] Unknown host,
5.114.245.223,5.114.245.223,[Errno 1] Unknown host,
5.122.21.133,5.122.21.133,[Errno 1] Unknown host,
5.119.13.239,5.119.13.239,[Errno 1] Unknown host,
5.208.159.215,5.208.159.215,[Errno 1] Unknown host,
5.216.71.171,5.216.71.171,[Errno 1] Unknown host,
109.203.138.4,109.203.138.4,[Errno 1] Unknown host,
5.127.175.169,5.127.175.169,[Errno 1] Unknown host,
5.121.70.137,5.121.70.137,[Errno 1] Unknown host,
2.182.138.55,2.182.138.55,[Errno 1] Unknown host,
37.32.45.115,37.32.45.115,[Errno 1] Unknown host,
46.248.49.47,46.248.49.47,[Errno 1] Unknown host,
5.115.1.102,5.115.1.102,[Errno 1] Unknown host,
5.125.53.234,5.125.53.234,[Errno 1] Unknown host,
31.59.181.44,31-59-181-44.shatel.ir,['44.181.59.31.in-addr.arpa'],['31.59.181.44']
5.114.238.230,5.114.238.230,[Errno 1] Unknown host,
93.110.116.179,93.110.116.179,[Errno 1] Unknown host,
80.75.8.250,outlook.alhavipharma.com,['250.8.75.80.in-addr.arpa'],['80.75.8.250']
5.52.18.112,5.52.18.112,[Errno 1] Unknown host,
89.199.157.16,89.199.157.16,[Errno 1] Unknown host,
5.75.14.110,5.75.14.110,[Errno 1] Unknown host,
89.235.81.7,89.235.81.7,[Errno 1] Unknown host,
83.121.111.6,83.121.111.6,[Errno 1] Unknown host,
40.77.192.125,msnbot-40-77-192-125.search.msn.com,['125.192.77.40.in-addr.arpa'],['40.77.192.125']
2.179.160.137,2.179.160.137,[Errno 1] Unknown host,
89.196.164.45,89.196.164.45,[Errno 1] Unknown host,
31.56.159.124,31-56-159-124.shatel.ir,['124.159.56.31.in-addr.arpa'],['31.56.159.124']
40.77.192.118,msnbot-40-77-192-118.search.msn.com,['118.192.77.40.in-addr.arpa'],['40.77.192.118']
5.210.108.116,5.210.108.116,[Errno 1] Unknown host,
5.113.217.57,5.113.217.57,[Errno 1] Unknown host,
5.116.106.110,5.116.106.110,[Errno 1] Unknown host,
5.121.51.18,5.121.51.18,[Errno 1] Unknown host,
185.101.216.150,185.101.216.150,[Errno 1] Unknown host,
77.77.104.174,77.77.104.174,[Errno 1] Unknown host,
92.223.105.186,92-223-105-186.net.luxembourg.lu,['186.105.223.92.in-addr.arpa'],['92.223.105.186']
94.139.169.146,94.139.169.146,[Errno 1] Unknown host,
138.68.89.228,138.68.89.228,[Errno 1] Unknown host,
2.191.227.144,2.191.227.144,[Errno 1] Unknown host,
151.239.67.66,151-239-67-66.shatel.ir,['66.67.239.151.in-addr.arpa'],['151.239.67.66']
204.18.155.229,204.18.155.229,[Errno 1] Unknown host,
5.78.77.83,5.78.77.83,[Errno 1] Unknown host,
5.114.86.57,5.114.86.57,[Errno 1] Unknown host,
5.113.138.56,5.113.138.56,[Errno 1] Unknown host,
5.114.37.171,5.114.37.171,[Errno 1] Unknown host,
178.131.70.251,178.131.70.251,[Errno 1] Unknown host,
151.238.124.3,151-238-124-3.shatel.ir,['3.124.238.151.in-addr.arpa'],['151.238.124.3']
37.19.92.122,37.19.92.122,[Errno 1] Unknown host,
86.55.4.105,86.55.4.105,[Errno 1] Unknown host,
5.122.165.152,5.122.165.152,[Errno 1] Unknown host,
5.121.117.15,5.121.117.15,[Errno 1] Unknown host,
93.118.134.3,93.118.134.3,[Errno 1] Unknown host,
178.128.193.136,178.128.193.136,[Errno 1] Unknown host,
5.125.226.156,5.125.226.156,[Errno 1] Unknown host,
5.127.12.133,5.127.12.133,[Errno 1] Unknown host,
83.122.52.227,83.122.52.227,[Errno 1] Unknown host,
89.196.190.208,89.196.190.208,[Errno 1] Unknown host,
92.38.132.185,shadow.mayami,['185.132.38.92.in-addr.arpa'],['92.38.132.185']
5.73.58.85,5.73.58.85,[Errno 1] Unknown host,
91.185.147.167,91.185.147.167,[Errno 1] Unknown host,
5.123.203.168,5.123.203.168,[Errno 1] Unknown host,
31.56.192.62,31-56-192-62.shatel.ir,['62.192.56.31.in-addr.arpa'],['31.56.192.62']
89.34.42.138,89.34.42.138,[Errno 1] Unknown host,
5.123.165.86,5.123.165.86,[Errno 1] Unknown host,
5.126.213.87,5.126.213.87,[Errno 1] Unknown host,
188.229.23.235,188.229.23.235,[Errno 1] Unknown host,
109.122.193.101,109.122.193.101,[Errno 1] Unknown host,
151.239.94.43,151-239-94-43.shatel.ir,['43.94.239.151.in-addr.arpa'],['151.239.94.43']
5.116.31.39,5.116.31.39,[Errno 1] Unknown host,
2.176.73.125,2.176.73.125,[Errno 1] Unknown host,
79.127.22.63,79.127.22.63,[Errno 1] Unknown host,
192.15.135.204,192.15.135.204,[Errno 1] Unknown host,
5.210.86.173,5.210.86.173,[Errno 1] Unknown host,
5.127.172.191,5.127.172.191,[Errno 1] Unknown host,
2.176.239.120,2.176.239.120,[Errno 1] Unknown host,
185.158.172.113,185.158.172.113,[Errno 1] Unknown host,
5.212.72.202,5.212.72.202,[Errno 1] Unknown host,
